,Title,Authors,Abstract,Published Date,Journal Title,Volume,Pages,Link
20,The Federal Enforcement Threat: The Effect of Overfiling Under the Resource Conservation and Recovery Act,Caroline Cecot,"States and the federal government typically share responsibility for environmental enforcement, with many states acquiring primary authority to enforce federal law. Under most federal environmental statutes, the U.S. Environmental Protection Agency (EPA) retains the right to “overfile,” or file its own enforcement action against a violator in addition to a state enforcement action. This article empirically tests the effect of EPA's ability to overfile on the state's enforcement strategy in the context of the Resource Conservation and Recovery Act (RCRA). In Harmon Industries v. Browner, 191 F.3d 894 (8th Cir., 1999 the Harmon decision), the Court of Appeals for the Eighth Circuit held that the EPA does not have the authority to overfile under RCRA. Other circuits, particularly the 10th Circuit, have disagreed with the Eighth Circuit's conclusion, holding that the EPA retains such authority, and the Supreme Court has never resolved this issue. This article predicts that states within the Eighth Circuit with preferences for lower environmental enforcement would impose more lenient penalties after the Harmon decision, and it tests this prediction using several proxies for state environmental enforcement preferences. I find that states in the Eighth Circuit with Republican governors were more likely to lower the final penalty amount from the proposed penalty amount after the Harmon decision. In other estimations, I also find that states in the Eighth Circuit with Republican governors collected less, on average, in final penalty amount per enforcement action after the Harmon decision. Other proxies for lower enforcement preferences, however, were not associated with consistent statistically significant effects. Because the governor arguably has the strongest influence on state enforcement policy, the results provide some support for the model's preference-based predictions. Overall, the results suggest that the existence of a specific and relatively infrequent type of federal enforcement action—EPA's ability to overfile—could have a substantial effect on overall environmental enforcement through its ability to affect the enforcement efforts of certain states. These findings shed light on how federal enforcement efforts might matter in the context of cooperative federalism.",13 September 2021,Journal of Empirical Legal Studies,"Volume 18, Issue 3", 534-568,https://onlinelibrary.wiley.com/doi/10.1111/jels.12295
21,Issue Information,,,25 June 2021,Journal of Empirical Legal Studies,"Volume 18, Issue 2", 253-255,https://onlinelibrary.wiley.com/doi/10.1111/jels.12255
22,The Effect of Board Structure on Firm Disclosure and Behavior: A Case Study of Korea and a Comparison of Research Designs,"Bernard Black, Woochan Kim, Julia Nasev","We exploit a large legal shock to the board structure of Korean firms, using a strong research design—combined difference-in-differences and regression discontinuity—to study whether this board structure change affects firm financial reporting (disclosure, MD&A length, and abnormal accruals), investment and growth (sales growth and capital expenditures), and firm value (proxied by Tobin's q). We also compare results from the annual DiD/RD design to those from simpler panel and “causal” methods, and assess how results vary across methods. We find robust evidence across methods that the shock predicts improved scores on a Disclosure Subindex, confirm prior findings of an increase in Tobin's q, and find some evidence for a drop in sales growth, but no convincing evidence of significant change for other outcomes. By comparing results across methods, we illustrate how using multiple causal designs can provide insight into and evidence of robustness not available from a single design, as well as case study evidence that panel methods, simple DiD, and its close cousin, shock-based IV, can produce apparent false positives.",25 June 2021,Journal of Empirical Legal Studies,"Volume 18, Issue 2", 328-376,https://onlinelibrary.wiley.com/doi/10.1111/jels.12280
23,"Do People Like Mandatory Rules? The Choice Between Disclosures, Defaults, and Mandatory Rules in Supplier-Customer Relationships","Ori Katz, Eyal Zamir","In recent years, numerous empirical studies have examined the prevailing attitudes toward nudges, but hardly any have examined the prevailing attitudes toward mandatory rules. To fill this gap, this article describes five studies (N = 3,103)—mostly preregistered studies conducted with representative samples of the U.S. population—which tested people's attitudes toward mandatory rules in contractual settings. We found that in supplier-customer relationships, people tend to rate mandatory rules as more desirable than disclosure duties and default rules. People's judgments in this regard depend on the relative effectiveness of the various types of rules in protecting customer's interests and their expected impact on the price, but there is considerable support for mandatory rules even if they are only slightly or moderately more effective than the alternatives, and even when they entail some price increase. People tend to believe that mandatory rules in this sphere enhance customers' freedom of contract—which may explain why these judgments are not correlated with people's ideological inclinations (liberal or conservative).",25 June 2021,Journal of Empirical Legal Studies,"Volume 18, Issue 2", 421-460,https://onlinelibrary.wiley.com/doi/10.1111/jels.12285
24,Is “Not Guilty” the Same as “Innocent”? Evidence from SEC Financial Fraud Investigations,"David H. Solomon, Eugene Soltes","When the Securities and Exchange Commission (SEC) investigates firms for financial fraud, investors learn about the investigation only if managers disclose it, or regulators sanction the firm. We investigate the effects of such disclosures using confidential records on all investigations, regardless of outcome. Even when no charges are brought, firms that voluntarily disclose an investigation underperform non-disclosing firms by 11.7 percent over the following year. Disclosure is associated with a higher chance of shareholder class action lawsuits, and more prominent disclosures are associated with worse returns. CEOs who disclose an investigation are 14 percent more likely to experience turnover. Our results are consistent with transparency about bad news being punished by financial and labor markets.",07 June 2021,Journal of Empirical Legal Studies,"Volume 18, Issue 2", 287-327,https://onlinelibrary.wiley.com/doi/10.1111/jels.12282
25,Who Votes Without Identification? Using Individual-Level Administrative Data to Measure the Burden of Strict Voter Identification Laws,"Phoebe Henninger, Marc Meredith, Michael Morse","Legal disputes over laws that require certain forms of identification (ID) to vote mostly focus on the burden placed on people who do not possess ID. We contend that this singular focus ignores the burden imposed on people who do possess ID, but nonetheless cannot access it when voting. To measure this alternative conception of burden, we focus on Michigan, which allows anyone who lacks access to ID to vote after signing an affidavit. A sample of affidavits filed in the 2016 presidential election from a random set of precincts reveals that about 0.45 percent of voters lacked access to ID. Consistent with our broader conception of the burden of voter ID laws, nearly all voters who filed an affidavit were previously issued a still-active state ID. Importantly, we show minority voters were about five times more likely to lack access to ID than white voters. We also present survey evidence suggesting that people who live in states where voters are asked to show ID, as in Michigan, are more likely to incorrectly believe that access to ID is required to vote than are people who live in states that do not ask voters to show ID.",07 June 2021,Journal of Empirical Legal Studies,"Volume 18, Issue 2", 256-286,https://onlinelibrary.wiley.com/doi/10.1111/jels.12283
26,Life “With” Or “Without”? An Empirical Study of Homicide Sentencing,"Michael O'Hear, Darren Wheelock","The number of Americans serving sentences of life without the possibility of parole (“LWOP”) has grown rapidly over the past generation and now exceeds 50,000. Yet, little empirical research has been conducted on the determinants of LWOP sentences. The dearth of research on LWOP sentencing stands in sharp contrast to the many dozens of studies that have been conducted on the determinants of death sentences–studies that have consistently found that race, gender, and other questionable factors may influence sentencing outcomes. The present study is the first to employ a similar methodology to identify both case- and county-level variables that are correlated with the imposition of discretionary LWOP sentences.",24 May 2021,Journal of Empirical Legal Studies,"Volume 18, Issue 2", 377-420,https://onlinelibrary.wiley.com/doi/10.1111/jels.12281
27,Affirming the District Judge: An Empirical Analysis of the Effect of District Judges Sitting by Designation on Circuit Court Panels,"Andrew Sayer, Melanie Hess, Matthew E. K. Hall","Ten of the 12 U.S. courts of appeals regularly invite district court judges to take part in appellate decisions. This practice, known as “sitting by designation,” has received mixed reviews from judges and scholars. Some argue that the practice undermines democratic legitimacy and collegiality on the courts of appeals. Others contend that district court judges sitting by designation have little effect on the process because they are deferential—perhaps far too deferential—toward their circuit court brethren. Despite this ongoing debate, few studies have empirically analyzed the effects of judges sitting by designation on appellate court decision making. Here, we empirically assess whether panels that include a judge sitting by designation are more likely to affirm the district court decision. We hypothesize that judges sitting by designation are more likely to affirm district court decisions, and the panel effects associated with a judge sitting on a circuit panel will result in more “affirm” votes by circuit court judges sitting with those district court judges. Our analysis of 9,154 court of appeals decisions confirms that the presence of a judge sitting by designation does have a positive and statistically significant effect on the rate at which court of appeals judges vote to affirm district court decisions.",17 May 2021,Journal of Empirical Legal Studies,"Volume 18, Issue 2", 461-484,https://onlinelibrary.wiley.com/doi/10.1111/jels.12284
28,Issue Information,,,05 April 2021,Journal of Empirical Legal Studies,"Volume 18, Issue 1", 1-3,https://onlinelibrary.wiley.com/doi/10.1111/jels.12254
29,,,,,,,,
30,Comparing Conventional and Machine-Learning Approaches to Risk Assessment in Domestic Abuse Cases,"Jeffrey Grogger, Sean Gupta, Ria Ivandic, Tom Kirchmaier","We compare predictions from a conventional protocol-based approach to risk assessment with those based on a machine-learning approach. We first show that the conventional predictions are less accurate than, and have similar rates of negative prediction error as, a simple Bayes classifier that makes use of only the base failure rate. Machine-learning algorithms based on the underlying risk assessment questionnaire do better under the assumption that negative prediction errors are more costly than positive prediction errors. Machine-learning models based on two-year criminal histories do even better. Indeed, adding the protocol-based features to the criminal histories adds little to the predictive adequacy of the model. We suggest using the predictions based on criminal histories to prioritize incoming calls for service, and devising a more sensitive instrument to distinguish true from false positives that result from this initial screening.",24 March 2021,Journal of Empirical Legal Studies,"Volume 18, Issue 1", 90-130,https://onlinelibrary.wiley.com/doi/10.1111/jels.12276
31,Does Alice Target Patent Trolls?,"Mark A. Lemley, Samantha Zyontz","The five years since Alice Corp. v. CLS Bank International, 573 U.S. 208 (2014) have witnessed an explosion in patentable subject matter decisions -- and in political controversy over the doctrine. To its critics, Alice renders important inventions in medical diagnostics, biotechnology, and information technology unpatenable and therefore discouraging investment in critical market sector innovation. To its defenders, Alice offers a reliable, quick, and cheap way to invalidate weak patents owned by patent trolls, reducing patent holdup and protecting innovators. In response to these debates, we explore how the courts actually use Alice. We construct a unique dataset of every district court and federal circuit decision on patentable subject matter from July 2014 through June 2019 and categorize the patent plaintiffs in each case using the Stanford NPE Litigation Database. Once in court, patentable subject matter challenges are far more common in software/IT cases, and biotech/life science innovations are more likely to survive. Surprisingly, the entities most likely to lose their patents are not patent trolls but individual inventors and inventor-started companies. Our findings have important implications for current legislative and judicial disputes over patent reform as some of the patent owners most impacted may be overlooked.",16 March 2021,Journal of Empirical Legal Studies,"Volume 18, Issue 1", 47-89,https://onlinelibrary.wiley.com/doi/10.1111/jels.12275
32,,,,,,,,
33,,,,,,,,
34,Goldilocks Deference?,"Daniel H. Cole, Elizabeth Baldwin, Katie Meehan","Over the years, courts reviewing rules and decisions of federal administrative agencies have given those agencies greater or narrower latitude in interpreting enabling legislation, ranging from the “hard look” doctrine to various levels of deference under case names such as Chevron, Auer, and Skidmore. This article examines a distinct type of judicial deference that might arise only in a special subset of cases where an agency is sued by two different interested parties arguing diametrically opposed positions. For example, the EPA may be sued on a major, substantive rule by the regulated industry arguing that the rule is too restrictive and by environmental groups arguing that it is too lax. In such cases, we hypothesize that reviewing courts might exercise “Goldilocks deference,” based on the assumption that if environmental groups and regulated industries are dissatisfied, then the agency's rule must be just about right. Using an empirical dataset of 160 cases, we show that the EPA is more likely to prevail when it is sued by both sides, suggesting that the hypothesis of Goldilocks deference is at least plausible.",17 February 2021,Journal of Empirical Legal Studies,"Volume 18, Issue 1", 167-188,https://onlinelibrary.wiley.com/doi/10.1111/jels.12278
35,Issue Information,,,24 November 2020,Journal of Empirical Legal Studies,"Volume 17, Issue 4", 641-643,https://onlinelibrary.wiley.com/doi/10.1111/jels.12223
36,Manna from Heaven for Judges: Judges’ Reaction to a Quasi-Random Reduction in Caseload,"Christoph Engel, Keren Weinshall","What is the impact of caseload on judicial decision making? Is increasing judicial staff effective in improving judicial services? To address these questions, we exploit a natural, near-randomized experiment in the Israeli judiciary. In 2012, six senior registrars were appointed in two of the six magistrate's court districts. The choice of districts was motivated by reasons unrelated to judicial performance. In these two districts, the civil caseload per judge was substantially reduced. We find that the reduction had a significant impact on the process and outcomes of judicial decision making. Judges working in courts with reduced caseload invested more resources in resolving each case. The effect is mostly to the advantage of plaintiffs, who were more likely to win, recover a larger fraction of their claims, and be reimbursed for litigation costs. We discuss the implications for judicial management and theories about judicial decision making.",24 November 2020,Journal of Empirical Legal Studies,"Volume 17, Issue 4", 722-751,https://onlinelibrary.wiley.com/doi/10.1111/jels.12265
37,Persistent Effects of Colonial Institutions on Long-Run Development: Local Evidence from Regression Discontinuity Design in Argentina,"Rok Spruk, Mitja Kovac","We exploit the discontinuity in the integration into the colonial court district of Real Audiencia in Upper Peru to estimate how colonial institutions have impacted local development across 527 departments in Argentina. Our identification strategy takes advantage of geo-referenced spatial boundary splits with local quasi-randomization between the localities integrated into the colonial court jurisdiction and the localities outside Audiencia's jurisdiction. The results show the impact of colonial institutions imposed by real audiencia in Upper Peru is both strong and remarkably persistent. Departments outside the colonial court district have lower literacy rates, a less computer-literate population, better physical and digital infrastructure, and more widespread computer ownership. The established effects of real audiencia do not seem driven by the climatic conditions and environment of disease, and are robust to a battery of specification checks, placebo tests, and falsification tests. We show that Audiencia's effect persisted through its influence on public goods provision, economic specialization patterns, clientelist networks, and elite control of the political representation.",24 November 2020,Journal of Empirical Legal Studies,"Volume 17, Issue 4", 820-861,https://onlinelibrary.wiley.com/doi/10.1111/jels.12266
