,Title,Authors,Abstract,Journal Title,Link,Published Date,Volume,Pages,
15,"What Is Cultural Cognition, and Why Does It Matter?", Jeffrey J. Rachlinski,"By all accounts, we currently live in a polarized political state in which virtually every fact is contestable. From climate change to vaccine efficacy, people feel free to choose their own facts to support politically charged arguments. Partisans in every area of American life are unable to agree on the basic assumptions underlying political debate. Research on cultural cognition demonstrates that people's political and cultural commitments shape how they process information from news sources, scientists, and public officials, thereby dictating which policies they support and which ones they oppose. When partisan loyalties determine what evidence people will accept, political compromise becomes difficult or even impossible. All is not lost, however. Cultural cognition has a powerful influence, but facts are stubborn things. In some areas of public debate, facts and evidence have overcome political divides. Furthermore, an understanding of the influence of cultural cognition can facilitate remedies to partisanship. This article examines the research that demonstrates the extent of cultural influences on people's understanding of public debates, identifies the limits of cultural cognition, and describes the extent to which cultural cognition itself provides keys to breaking down partisan divides.",Annual Review of Law and Social Science,https://doi.org/10.1146/annurev-lawsocsci-011921-060754,Oct-21,Vol. 17,277-291 ,
16,Contract Schemas, Roseanna Sommers,"This review draws on the notion of “contract schemas” to characterize what ordinary people think is happening when they enter into contractual arrangements. It proposes that contracts are schematically represented as written documents filled with impenetrable text containing hidden strings, which are routinely signed without comprehension. This cognitive template, activated whenever people encounter objects with these characteristic features, confers certain default assumptions, associations, and expectancies. A review of the literature suggests that contract schemas supply (a) the assumption that terms will be enforced as written, (b) the feeling that one is obligated to perform, and (c) the sense that one has forfeited rights. Contract schemas should be of interest to legal scholars, because their psychological and behavioral effects often sit at odds with contract doctrine. Laypeople expect the law to find consent in situations where they would prefer it did not, and where it in fact does not. Contract schemas should also be of interest to ordinary consumers, who may find themselves relinquishing legally valid claims, erroneously assuming away rights, and/or blaming themselves. Future research should explore the consequences that flow from the lay perception that the law is rigidly formalistic to the detriment of fairness. Do such attitudes undermine the perceived moral authority of the law?",Annual Review of Law and Social Science,https://doi.org/10.1146/annurev-lawsocsci-040721-103558,Oct-21,Vol. 17,293-308 ,
17,Algorithms and Decision-Making in the Public Sector," Karen Levy,  Kyla E. Chasalow, and  Sarah Riley","This article surveys the use of algorithmic systems to support decision-making in the public sector. Governments adopt, procure, and use algorithmic systems to support their functions within several contexts—including criminal justice, education, and benefits provision—with important consequences for accountability, privacy, social inequity, and public participation in decision-making. We explore the social implications of municipal algorithmic systems across a variety of stages, including problem formulation, technology acquisition, deployment, and evaluation. We highlight several open questions that require further empirical research.",Annual Review of Law and Social Science,https://doi.org/10.1146/annurev-lawsocsci-041221-023808,Oct-21,Vol. 17,309-334 ,
18,Parole Board Decision Making and Constitutional Rights, Amelia Courtney Hritz,"Parole board decision making has changed dramatically over the last century, mirroring broader trends in criminal punishment. Even though parole decisions affect the length of prison sentences and the US Supreme Court has safeguarded defendants’ rights during the sentencing phase of criminal proceedings, the court has largely declined to interfere in parole. After briefly surveying the historical evolution of parole in the United States, this article proceeds in two parts. First, the article analyzes Supreme Court cases involving sentencing and parole and discusses questions raised by those decisions. Second, the article examines modern studies of parole board decisions and highlights ethical and legal questions raised by the research.",Annual Review of Law and Social Science,https://doi.org/10.1146/annurev-lawsocsci-051121-070621,Oct-21,Vol. 17,335-351 ,
19,Infrastructures and Laws: Publics and Publicness, Benedict Kingsbury and  Nahuel Maisley,"Infrastructures are technical-social assemblages infused in politics and power relations. They spur public action, prompting increased scholarly reference to the practices of infrastructural publics. This article explores the normative and conceptual meanings of infrastructures, publics, and infrastructural publics. It distills from political theory traditions of Hannah Arendt, Jürgen Habermas, and Nancy Fraser a normative ideal of publics composed of the persons subject to a particular configuration of power relations that may significantly affect their autonomy. Autonomy can be seriously affected not only by existing or planned infrastructures, with their existing or anticipating users and workers and objectors, but also by the lack of an infra-structure or by the terms of infrastructural exclusions, rationings, channelings, and fiscal impositions. Legal-institutional mechanisms provide some of the means for infrastructural publics to act and be heard, and for conflicts between or within different publics to be addressed, operationalizing legal ideas of publicness. These mechanisms are often underprovided or misaligned with infrastructure. One reason is the murkiness and insecurity of relations of infrastructural publics to legal publics constituted or framed as such by institutions and instruments of law and governance. We argue that thoughtful integration of infrastructural and legal scaling and design, accompanied by a normative aspiration to publicness, may have beneficial effects.",Annual Review of Law and Social Science,https://doi.org/10.1146/annurev-lawsocsci-011521-082856,Oct-21,Vol. 17,353-373 ,
20,Advancing Socioeconomic Rights Through Interdisciplinary Factfinding: Opportunities and Challenges," Sarah Knuckey,  Joshua D. Fisher,  Amanda M. Klasing,  Tess Russo, and  Margaret L. Satterthwaite","The human rights movement is increasingly using interdisciplinary, multidisciplinary, mixed-methods, and quantitative factfinding. There has been too little analysis of these shifts. This article examines some of the opportunities and challenges of these methods, focusing on the investigation of socio-economic human rights. By potentially expanding the amount and types of evidence available, factfinding's accuracy and persuasiveness can be strengthened, bolstering rights claims. However, such methods can also present significant challenges and may pose risks in individual cases and to the human rights movement generally. Interdisciplinary methods can be costly in human, financial, and technical resources; are sometimes challengingto implement; may divert limited resources from other work; can reify inequalities; may produce “expertise” that disempowers rightsholders; and could raise investigation standards to an infeasible or counterproductive level. This article includes lessons learned and questions to guide researchers and human rights advocates considering mixed-methods human rights factfinding.",Annual Review of Law and Social Science,https://doi.org/10.1146/annurev-lawsocsci-121620-081730,Oct-21,Vol. 17,375-389 ,
21,Philanthrocapitalism and the Separation of Powers, Linsey McGoey,"This article discusses the rise of an approach to philanthropic giving known as philanthrocapitalism. I relate it to a new paradigm in management theory that has claimed that private profit making naturally aligns with improved public welfare. I show how growing belief in the inherent “compatibility” of corporate missions and public benefits has led to new laws and contributed to major shifts in how giving practices are structured and legitimated. The original point made in this article is that the philanthrocapitalist turn is more than simply an organizational change in the structure of different philanthropic institutions. Rather, the belief that profit-making and public welfare are naturally aligned also has significant, undertheorized implications for different principles in European-American legal traditions. The ascendancy of the philanthrocapitalist approach represents a subtle but profound displacement of belief in the need for democratic checks and balances on the use of public funds for private enrichment.",Annual Review of Law and Social Science,https://doi.org/10.1146/annurev-lawsocsci-120220-074323,Oct-21,Vol. 17,391-409 ,
22,"Constitutional Dictatorships, from Colonialism to COVID-19", Jens Meierhenrich,"In this article, I use the concept of constitutional dictatorship as a heuristic, as a way of thinking more explicitly about constitutional violence than is customary in comparative constitutional law. Constitutional dictatorship is an epic concept. It is capable of illuminating—and retelling—epic histories of constitutional law, of alerting us to commonalities in constitutional practices of domination—and thus of violence—that would otherwise remain shrouded in legal orientalism. The analysis aspires to make constitutional law strange again. To this end, I trace nomoi and narratives of constitutional dictatorship from colonialism to the coronavirus pandemic. Arguing against emergency scripts, I relate the idea of “emergency” to the everyday and both to coloniality. Mine is a rudimentary conceptual history—a Begriffsgeschichte—of constitutional dictatorship. I think of the empirical vignettes about crisis government in the colony/postcolony on which my comparative historical analysis is based as prolegomena to a critical theory of constitutional dictatorship.",Annual Review of Law and Social Science,https://doi.org/10.1146/annurev-lawsocsci-040721-102430,Oct-21,Vol. 17,411-439 ,
23,Black Lives Matter in Historical Perspective, Megan Ming Francis and  Leah Wright-Rigueur,"This review examines the Black Lives Matter movement. Despite a growing body of literature focused on explaining the formation and activities of the present Black Lives Matter movement, less attention is given to the historical antecedents. What are earlier Black-led movements centered on ending state-sanctioned violence? This article situates Black Lives Matter in a much longer lens and examines the long struggle to protect Black lives from state-sanctioned violence. We draw from existing research to provide a historical genealogy of the movement that traces the beginnings of a movement to protect Black lives to the work of Ida B. Wells and follows it up to the work of the Mississippi Freedom Democratic Party and the urban rebellions that have followed.",Annual Review of Law and Social Science,https://doi.org/10.1146/annurev-lawsocsci-122120-100052,Oct-21,Vol. 17,441-458 ,
24,Women's Rights After War: On Gender Interventions and Enduring Hierarchies, Marie E. Berry and  Milli Lake,"Postwar recovery efforts foreground gender equality as a key component of building more liberal democracies. This review explores the burgeoning scholarship on women's rights after war, first grappling with war as a period of possibility for building new gender-inclusive institutions. We review efforts in three arenas: increasing women's political representation in postwar democratic transitions; improving access to justice for women through the extension of property rights and bodily autonomy within systems of carceral justice; and integrating women into labor markets and security sectors through various components of the Women, Peace, and Security agenda. Yet these inclusionary efforts have too often sought to dismantle one form of oppression (gender inequality) without challenging others. We document how projects to center women in liberal democratic reforms following war inadvertently overlook other manifestations of violence at the core of these institutions.",Annual Review of Law and Social Science,https://doi.org/10.1146/annurev-lawsocsci-113020-085456,Oct-21,Vol. 17,459-481 ,
25,On the Interdependence of Liberal and Illiberal/Authoritarian Legal Forms in Racial Capitalist Regimes…The Case of the United States, Michael McCann and  Filiz Kahraman,"Scholars conventionally distinguish between liberal and illiberal, or authoritarian, legal orders. Such distinctions are useful but often simplistic and misleading, as many regimes are governed by plural, dual, or hybrid legal institutions, principles, and practices. This is no less true for the United States, which often is misidentified as the paradigmatic liberal constitutional order. Historical and critical scholarship, including recent studies of law under racial capitalism, provide reason to identify American law as a dual state in which legal forms that govern property ownership, contract relations, and civil liberties of free citizens differ from the more illiberal, authoritarian legal forms that rule over subaltern populations, particularly racialized, low-wage workers, Indigenous populations, the poor, immigrants, and women. This dual state, we argue, did undergo changes to adopt more procedurally liberal, professional, overtly deracialized legal forms after World War II, but these changes masked more than tamed the continuing illiberal, authoritarian violence that targeted marginalized citizens. While constantly changing, the American legal system is best understood not as a singular liberal order but instead as a hybrid system of mutually constitutive liberal and illiberal and authoritarian legal practices.",Annual Review of Law and Social Science,https://doi.org/10.1146/annurev-lawsocsci-111720-012237,Oct-21,Vol. 17,483-503 ,
26,"What the Study of Legal Cynicism and Crime Can Tell Us About Reliability, Validity, and Versatility in Law and Social Science Research"," John Hagan,  Bill McCarthy, and  Daniel Herda","We call for a further appreciation of the versatility of concepts and methods that increase the breadth and diversity of work on law and social science. We make our point with a review of legal cynicism. Legal cynicism's value, like other important concepts, lies in its versatility as well as its capacity for replication. Several classic works introduced legal cynicism, but Sampson & Bartusch named it. Kirk & Papachristos used a cultural framework to broaden it and added essential measures of perceived unresponsiveness and incapacity of police to ensure neighborhood safety and security. A structural theory of legal cynicism explains minority residents’ skepticism of, and desperate reliance on, police in the absence of alternative sources of safety. Historical and ethnographic studies play especially important roles in broadening the versatility of legal cynicism for the study of crime and responses to it.",Annual Review of Law and Social Science,https://doi.org/10.1146/annurev-lawsocsci-031620-093358,Oct-20,Vol. 16,1-20,
27,Climate Change Litigation, Jacqueline Peel and  Hari M. Osofsky,"Climate change litigation has grown exponentially in the last decade, paralleled by the emergence of a rich legal and social sciences literature assessing these cases. Building on a recent review in WIRES Climate Change, this article evaluates the growth of this literature and the key themes it highlights. In 2019, climate litigation literature experienced substantial growth, with a focus on multiple novel dimensions: new high-profile judgments; emerging legal avenues, types of actors, litigation objectives, and jurisdictions, especially those in the Global South; and additional interdisciplinary analyses. Just as in the underlying case law, climate litigation scholarship shows evidence of distinct but overlapping waves that build together in a manner similar to a harmonic chord. Even so, this literature has not yet engaged deeply with questions about the effectiveness of climate litigation as a governance tool, particularly in the context of the decentralized system formalized with the 2015 Paris Agreement.",Annual Review of Law and Social Science,https://doi.org/10.1146/annurev-lawsocsci-022420-122936,Oct-20,Vol. 16,21-38 ,
28,Computational Methods in Legal Analysis, Jens Frankenreiter and  Michael A. Livermore,"The digitization of legal texts and advances in artificial intelligence, natural language processing, text mining, network analysis, and machine learning have led to new forms of legal analysis by lawyers and law scholars. This article provides an overview of how computational methods are affecting research across the varied landscape of legal scholarship, from the interpretation of legal texts to the quantitative estimation of causal factors that shape the law. As computational tools continue to penetrate legal scholarship, they allow scholars to gain traction on traditional research questions and may engender entirely new research programs. Already, computational methods have facilitated important contributions in a diverse array of law-related research areas. As these tools continue to advance, and law scholars become more familiar with their potential applications, the impact of computational methods is likely to continue to grow.",Annual Review of Law and Social Science,https://doi.org/10.1146/annurev-lawsocsci-052720-121843,Oct-20,Vol. 16,39-57 ,
29,Constitutions and the Metropolis, Ran Hirschl,"Extensive urbanization and the consequent rise of megacities are among the most significant demographic phenomena of our time. Our constitutional institutions and constitutional imagination, however, have not even begun to catch up with the new reality. In this article, I address four dimensions of the great constitutional silence concerning the metropolis: (a) the tremendous interest in cities throughout much of the social sciences, as contrasted with the meager attention to the subject in constitutional theory and practice; (b) the right to the city in theory and practice; (c) a brief account of what national constitutions actually say about cities, and more significantly what they do not; and (d) the dominant statist stance embedded in national constitutional orders, in particular as it addresses the sovereignty and spatial governance of the polity, as a main explanatory factor for the lack of vibrant constitutional discourse concerning urbanization in general and the metropolis in particular.",Annual Review of Law and Social Science,https://doi.org/10.1146/annurev-lawsocsci-051920-020619,Oct-20,Vol. 16,59-77 ,
30,Constructing the Human Right to a Healthy Environment, John H. Knox,"Despite the absence of a right to a healthy environment in the Universal Declaration of Human Rights or any global human rights treaty, environmental human rights law has rapidly developed over the past 25 years along three paths: (a) the widespread adoption of environmental rights in regional treaties and national constitutions; (b) the greening of other human rights, such as the rights to life and health, through their application to environmental issues; and (c) the inclusion in multilateral environmental instruments of rights of access to information, public participation, and access to justice. After describing these developments, this review assesses the possible effects of UN recognition of the human right to a healthy environment, both on the environment and on human rights law itself.",Annual Review of Law and Social Science,https://doi.org/10.1146/annurev-lawsocsci-031720-074856,Oct-20,Vol. 16,79-95 ,
31,Conversations in Law and Society: Oral Histories of the Emergence and Transformation of the Movement," Calvin Morrill,  Lauren B. Edelman,  Yan Fang, and  Rosann Greenspan","This article uses oral histories of surviving founders to explore the emergence of law and society as a scholarly movement and its transformation to a scholarly field. The oral histories we draw on come from a unique public archive of interviews with founders of law and society titled Conversations in Law and Society, which is maintained by the Center for the Study of Law & Society (CSLS) at the University of California, Berkeley. We supplement and triangulate the CSLS oral histories with published sources that recount the history of law and society research. Our discussion begins with a brief review of the oral history approach and how the CSLS archive was constructed. We draw on the social movements literature to trace the emergence of the law and society field as a scholarly movement, showing how the movement drew strength from the political opportunities of the 1960s and 1970s; the mobilizing structures through which scholars created space for research and training; and the framing processes that crystallized the meanings, identities, and sentiments of the movement. We then present the founders’ perspectives on the characteristics of law and society as it became a scholarly field.While never becoming institutionalized as a discipline in the academy, law and society nonetheless spawned other scholarly movements and continues to influence research and teaching in social science disciplines and in law schools.",Annual Review of Law and Social Science,https://doi.org/10.1146/annurev-lawsocsci-101518-042824,Oct-20,Vol. 16,97-116 ,
32,Criminal Trials and Reforms Intended to Reduce the Impact of Race: A Review, Barbara O'Brien and  Catherine M. Grosso,"This review collects initiatives and legal decisions designed to mitigate discrimination in pretrial decision making, jury selection, jury unanimity, and jury deliberations. It also reviews initiatives to interrupt implicit racial biases. Among these, Washington's new rule for jury selection stands alone in treating racism as the product of both individual actors’ decisions and long-standing legal structures. Washington's rule shows the limits of recent US Supreme Court decisions addressing discrimination in cases with unusual and clearly problematic facts. The court presents these cases as rare remediable aberrations, ignoring the well-documented history of racism in jury selection. The final section juxtaposes limited reforms with the contemporary prison abolitionist movement to illuminate boundaries of incremental reforms. Reforms must reflect cognizance of the extent to which racism exists at multiple levels. Reforms that do not are less likely to make change, because they are either narrow in scope or focused on discrimination by individuals.",Annual Review of Law and Social Science,https://doi.org/10.1146/annurev-lawsocsci-042020-111040,Oct-20,Vol. 16,117-130 ,
33,Ethnographies of Global Policing, Jonny Steinberg,"The last two decades have seen an unprecedented proliferation of ethnographies of policing in many parts of the world. Implicit in the body of this new work is the continuation of an old and perhaps irresolvable debate on what policing is: the extralegal subjugation of subordinate populations or an agency whose authority is highly restricted by the norms of civilian populations. I argue that the best way to tackle this debate is to further develop the incipient practices of global ethnography, that is, to understand local practices via their global histories.",Annual Review of Law and Social Science,https://doi.org/10.1146/annurev-lawsocsci-030320-121837,Oct-20,Vol. 16,131-145 ,
